Date,Field Name,PB Value,Latitude,Longitude,Icon,Iconscale,IconLineColor,Timebegin,timeend
7/8/14 14:30,AKE C3 & C4,16," 36¡ 8'33.98""N","119¡23'32.49""W",160,1,yellow,7/8/14,7/15/14
6/24/14 13:00,AKE D,23," 36¡ 9'4.18""N","119¡23'59.47""W",175,1.5,Orange,6/24/14,7/1/14
7/2/14 15:30,Drummond H,17," 36¡15'21.98""N","119¡33'27.59""W",160,1,yellow,7/2/14,7/9/14
7/2/14 14:45,Drummond G,18," 36¡15'20.09""N","119¡33'49.22""W",160,1,yellow,7/2/14,7/9/14
7/2/14 14:15,Drummond F,22," 36¡15'30.87""N","119¡33'52.40""W",175,1.5,Orange,7/2/14,7/9/14
7/2/14 13:45,Drummond E,19," 36¡15'38.58""N","119¡34'0.82""W",160,1,yellow,7/2/14,7/9/14
7/2/14 13:15,Drummond C & D,21," 36¡16'6.72""N","119¡33'52.17""W",175,1.5,Orange,7/2/14,7/9/14
6/30/14 15:30,AKE A,21," 36¡ 8'35.31""N","119¡22'27.07""W",175,1.5,Orange,6/30/14,7/7/14
6/30/14 15:00,AKE B,25," 36¡ 8'35.28""N","119¡22'57.89""W",175,1.5,Orange,6/30/14,7/7/14
6/30/14 14:30,AKE C1 & C2,18," 36¡ 9'4.67""N","119¡23'30.80""W",160,1,yellow,6/30/14,7/7/14
6/30/14 14:00,AKE C3 & C4,24," 36¡ 8'33.98""N","119¡23'32.49""W",175,1.5,Orange,6/30/14,7/7/14
6/30/14 13:00,AKE D,22," 36¡ 9'4.18""N","119¡23'59.47""W",175,1.5,Orange,6/30/14,7/7/14
6/26/14 15:00,Drummond G,19," 36¡15'20.09""N","119¡33'49.22""W",160,1,yellow,6/26/14,7/3/14
6/26/14 13:50,Drummond E,17," 36¡15'38.58""N","119¡34'0.82""W",160,1,yellow,6/26/14,7/3/14
6/26/14 13:30,Drummond F,22," 36¡15'30.87""N","119¡33'52.40""W",175,1.5,Orange,6/26/14,7/3/14
6/26/14 13:10,Drummond C & D,19," 36¡16'6.72""N","119¡33'52.17""W",160,1,yellow,6/26/14,7/3/14
6/24/14 15:30,AKE C1 & C2,22," 36¡ 9'4.67""N","119¡23'30.80""W",175,1.5,Orange,6/24/14,7/1/14
6/24/14 14:45,AKE B,19," 36¡ 8'35.28""N","119¡22'57.89""W",160,1,yellow,6/24/14,7/1/14
6/24/14 14:00,AKE C3 & C4,20," 36¡ 8'33.98""N","119¡23'32.49""W",160,1,yellow,6/24/14,7/1/14
7/8/14 13:15,AKE D,19," 36¡ 9'4.18""N","119¡23'59.47""W",160,1,yellow,7/8/14,7/15/14
